fox	0
hen	1
dog	2
cat	3
rat	4
frog	5
horse	6
cow	7
sheep	8
goat	9
duck	10
owl	11
brown	12
black	13
white	14
gray	15
red	16
blue	17
green	18
yellow	19
pink	20
large	21
small	22
quick	23
a	24
the	25
over	26
under	27
around	28
within	29
near	30
behind	31
beside	32
across	33
through	34
beyond	35
inside	36
outside	37
lake	38
stable	39
bench	40
palace	41
forest	42
meadow	43
river	44
bridge	45
garden	46
barn	47
tower	48
cave	49
jumped	50
ran	51
swam	52
walked	53
barked	54
quacked	55
chirped	56
slept	57
grazed	58
hunted	59
climbed	60
rested	61
fuchs	62
henne	63
hund	64
katze	65
ratte	66
frosch	67
pferd	68
kuh	69
schaf	70
ziege	71
ente	72
eule	73
ueber	74
unter	75
um	76
innerhalb	77
nahe	78
hinter	79
neben	80
entlang	81
durch	82
jenseits	83
in	84
ausserhalb	85
see	86
stall	87
bank	88
palast	89
wald	90
wiese	91
fluss	92
bruecke	93
garten	94
scheune	95
turm	96
hoehle	97
sprang	98
rannte	99
schwamm	100
ging	101
bellte	102
quakte	103
zwitscherte	104
schlief	105
graste	106
jagte	107
kletterte	108
ruhte	109
der	110
die	111
das	112
den	113
des	114
ein	115
eine	116
einen	117
eines	118
dem	119
einem	120
einer	121
fuchss	122
hunds	123
froschs	124
pferds	125
schafs	126
sees	127
stalls	128
palasts	129
walds	130
flusss	131
gartens	132
turms	133
braun	134
braunen	135
brauner	136
braunem	137
braunes	138
braune	139
schwarz	140
schwarzen	141
schwarzer	142
schwarzem	143
schwarzes	144
schwarze	145
weiss	146
weissen	147
weisser	148
weissem	149
weisses	150
weisse	151
grau	152
grauen	153
grauer	154
grauem	155
graues	156
graue	157
rot	158
roten	159
roter	160
rotem	161
rotes	162
rote	163
blau	164
blauen	165
blauer	166
blauem	167
blaues	168
blaue	169
gruen	170
gruenen	171
gruener	172
gruenem	173
gruenes	174
gruene	175
gelb	176
gelben	177
gelber	178
gelbem	179
gelbes	180
gelbe	181
pinken	182
pinker	183
pinkem	184
pinkes	185
pinke	186
gross	187
grossen	188
grosser	189
grossem	190
grosses	191
grosse	192
klein	193
kleinen	194
kleiner	195
kleinem	196
kleines	197
kleine	198
schnell	199
schnellen	200
schneller	201
schnellem	202
schnelles	203
schnelle	204
